comparator,endpoint,seed,real,comparison,difference
frozen_equal,svm_activity_mean,6108,0.3216142061880001,0.30681625996441464,0.014797946223585434
frozen_equal,svm_activity_mean,6109,0.3076733882389753,0.3110297940735096,-0.0033564058345343373
frozen_equal,svm_activity_mean,6110,0.31955899553708694,0.32775014772925715,-0.008191152192170204
frozen_equal,mpn_probability_all_valid_mean,6101,0.5066507695517826,0.5038877444295096,0.0027630251222729996
frozen_equal,mpn_probability_all_valid_mean,6102,0.4999200236028868,0.4922603700659197,0.00765965353696707
frozen_equal,mpn_probability_all_valid_mean,6103,0.4874675074750079,0.5009233817090817,-0.013455874234073795
frozen_equal,mpn_probability_all_valid_mean,6104,0.4977524910529028,0.49496633665683754,0.002786154396065277
frozen_equal,mpn_probability_all_valid_mean,6105,0.4968780316896835,0.49648752518343175,0.0003905065062517199
frozen_equal,mpn_probability_all_valid_mean,6106,0.5009348938702319,0.5096851764965714,-0.008750282626339478
frozen_equal,mpn_probability_all_valid_mean,6107,0.5217021190584131,0.5056917131550028,0.016010405903410296
frozen_equal,mpn_probability_all_valid_mean,6108,0.5046628469434219,0.4873920538863344,0.017270793057087508
frozen_equal,mpn_probability_all_valid_mean,6109,0.49358819334507376,0.4835168264778831,0.010071366867190679
frozen_equal,mpn_probability_all_valid_mean,6110,0.511606063592745,0.48876451299498735,0.02284155059775761
frozen_equal,mpn_probability_ad_mean,6101,0.46520492819289566,0.4744566756710536,-0.009251747478157935
frozen_equal,mpn_probability_ad_mean,6102,0.47160112159670287,0.45655632235013666,0.01504479924656621
frozen_equal,mpn_probability_ad_mean,6103,0.4389928737883228,0.4472734507235388,-0.008280576935216
frozen_equal,mpn_probability_ad_mean,6104,0.43894830953861985,0.46639620759660366,-0.02744789805798381
frozen_equal,mpn_probability_ad_mean,6105,0.4958306457607678,0.47770287801045924,0.018127767750308554
frozen_equal,mpn_probability_ad_mean,6106,0.42826885797351666,0.449032529661816,-0.020763671688299346
frozen_equal,mpn_probability_ad_mean,6107,0.46299842128218155,0.4852367856191232,-0.02223836433694165
frozen_equal,mpn_probability_ad_mean,6108,0.5161861617587448,0.44233034949284045,0.07385581226590432
frozen_equal,mpn_probability_ad_mean,6109,0.47095260664171473,0.42376947176684737,0.04718313487486736
frozen_equal,mpn_probability_ad_mean,6110,0.46738333006471616,0.4429593891117389,0.024423940952977286
frozen_equal,ad_coverage,6101,0.04198473282442748,0.03998730561726436,0.001997427207163123
frozen_equal,ad_coverage,6102,0.053228346456692915,0.03876707975850016,0.014461266698192754
frozen_equal,ad_coverage,6103,0.045368020304568525,0.04754358161648178,-0.0021755613119132516
frozen_equal,ad_coverage,6104,0.05534471853257432,0.04340937896070976,0.011935339571864559
frozen_equal,ad_coverage,6105,0.04292929292929293,0.031525851197982346,0.011403441731310582
frozen_equal,ad_coverage,6106,0.055115616091225846,0.052747946936197096,0.0023676691550287496
frozen_equal,ad_coverage,6107,0.03673210892970234,0.035703001579778834,0.0010291073499235082
frozen_equal,ad_coverage,6108,0.04007573366992742,0.05063291139240506,-0.010557177722477641
frozen_equal,ad_coverage,6109,0.03527168732125834,0.0534134007585335,-0.018141713437275157
frozen_equal,ad_coverage,6110,0.03247373447946514,0.0390104662226451,-0.006536731743179959
frozen_equal,qed_mean,6101,0.6735879118526231,0.6807213444255967,-0.007133432572973608
frozen_equal,qed_mean,6102,0.6892563322783952,0.6866562778127243,0.002600054465670909
frozen_equal,qed_mean,6103,0.6826128263718151,0.6849740154993548,-0.002361189127539687
frozen_equal,qed_mean,6104,0.6891664670025358,0.6824117801495311,0.006754686853004732
frozen_equal,qed_mean,6105,0.6947411061650631,0.6871213026723155,0.007619803492747601
frozen_equal,qed_mean,6106,0.685778534895141,0.6869020869149297,-0.0011235520197887539
frozen_equal,qed_mean,6107,0.6907990917071107,0.6992157715166452,-0.008416679809534422
frozen_equal,qed_mean,6108,0.6808478481541865,0.6965529388914175,-0.01570509073723092
frozen_equal,qed_mean,6109,0.6812521675048414,0.6878020520093164,-0.006549884504475023
frozen_equal,qed_mean,6110,0.6841000856211618,0.6848124862154298,-0.0007124005942680256
frozen_equal,mw_target_score_mean,6101,0.9370229007633588,0.9311329736591558,0.005889927104202997
frozen_equal,mw_target_score_mean,6102,0.9407874015748031,0.9389895138226882,0.0017978877521148684
frozen_equal,mw_target_score_mean,6103,0.9378172588832487,0.9375594294770206,0.0002578294062280939
frozen_equal,mw_target_score_mean,6104,0.941808981657179,0.938212927756654,0.003596053900524976
frozen_equal,mw_target_score_mean,6105,0.9362373737373737,0.9363177805800756,-8.04068427019411e-05
